FLT_ORIG_DT,ACT_ORIG,ACT_DEST,FLT_NBR,DELAY_MIN,OPER_CARR,DELAY_REASON
1/1/2015,FAI,SEA,132,11,AS,computer system down
1/1/2015,LWS,SEA,2218,7,QX,S10 2 min-computer was glitching with inf edit so caused the final paper work to be off. fa counted multiple time to make sure her count was on and then we realized the inf pax was not ondnotified ITS04 5 min-5 wchr and 1 aisle chair inbound on 2217
1/1/2015,MFR,PDX,2328,9,QX,Bag Tag Printer at TC kicking out multiple duplicate tags. 2 PC rebooted. Gate agent left 35 min prior to departure with 1 agent left to check in remaining 15 pax. backed up everything else. Elvira mfrcsa
1/1/2015,FAI,ANC,2808,14,QX,"flight delayed, 2 other flights on the ground at the same time and computer system down"
1/1/2015,FAI,ANC,2810,16,QX,multiple unscheduled irregular ops and computer system down
1/1/2016,YYC,SEA,2119,2,QX,Computer froze up when LC came up to input the numbers into S4A. Had to sign in to another computer and had to print final paperwork off at another gate. Local IT was called
1/1/2016,BOI,SEA,2231,7,QX,Crew called back CLP software issues delay.//bb
1/1/2016,SEA,YVR,2304,9,QX,gate agent trying to print on list had paper jam missing pax kept showing up so gate sent them down and printed paperwork and different podium SP8/C10E..ss
1/1/2016,STS,SEA,2334,19,QX,LC went to submit numbers a glitch occurred causing flight pluck to disappear CLP had to work flight manually station manual proceed had to be done at last minute
1/1/2016,SEA,FAT,3490,20,OO,"16E.Q16 / DEPARTURE TIME NOT REVISED AFTER REQUESTED, FORCED GATE TO REMAIN OPEN FOR AN EXTENDED BRDG TIME DUE TO TERMINAL DISPLAYS / CX SWAP / AUTH BRDG 1803 .JW."
1/1/2016,PSP,SEA,517,11,AS,capt requested fax from dispatch held door shut acars down//IT delay- JH
1/1/2016,SEA,TUS,648,9,AS,"ramp lead unable to change/show load in pit 4, pit 4 showed nil, actual load 82b, dc was unable, contacted clp to make changes to show correct load. Mo"
1/1/2016,PVR,LAX,1253,3,AS,Paperwork not available for departure
1/1/2016,SAN,SLC,3397,5,OO,took many times to try and clear a jump-seater thru JACS
1/1/2016,PAE,SAN,2678,3,QX,"acars system went down, causing pilots to have to call CLP...JI"
1/1/2017,PAE,PDX,2880,1,QX,Printer onboard INOP had to get load close out from gate agent.
1/1/2018,PAE,PDX,2880,1,QX,"Printer onboard INOP had to get load close out from gate agent, MH. Recoded, ZP"
1/1/2018,PDX,GEG,3368,20,OO,Ipad froze during boarding resulting in 2 adults 1 inf not being ONd. Full headcount and name verification completed onboard. IT ticket number 1141908 -ad
1/1/2019,SEA,ANC,175,7,AS,PST failed when trying to submit final numbers. Reverted to hard copy. Ticket number 1327946. AS
1/1/2021,GTF,SEA,2030,4,QX,infant edit not working had to call sea training corner to correct it. Trouble ticket filed. Reference number is Incident 1327870
1/1/2021,SEA,LAX,404,6,AS,Ramp 2 PSTs failed. Turning in hard copy. TKT 1327707...AVA
1/1/2021,SEA,JNU,71,9,AS,PST failed at the end of flight and crew had to revert to hard copy.Ticket 1327903. AS
1/1/2022,LAX,SFO,141,13,AS,captain said issues with submitting numbers and had to do with dispatch over the phone
1/1/2022,PSC,SEA,2101,12,QX,"Internet crashed, needed asst. from CLP/ chg fro F14 to S10 per D.Williams/ AS MCO"
1/1/2022,PSC,SEA,2344,4,QX,The internet system went down and continued to interrupt our operations. Had to call CLP and text a picture over of the O-97 to submit on their end./ Updated F14 to S10 IT to IT. AS MCO
1/1/2022,GEG,PAE,2435,2,QX,"Final numbers failed to send to ACARS, crew contact CLP. dw."
1/1/2022,ZIH,LAX,291,15,AS,no acars everything was given by phone by captain
1/1/2022,PSP,BOI,3487,3,OO,pax numbers did not electronically transfer
1/1/2023,SFO,PAE,2064,8,QX,Lead reported scanner malfunction not showing load plan. IT ticket 1820026 opened.
1/1/2023,PSP,BOI,3491,5,OO,"pax count was not getting to the flight deck. Reached out to SOC to send numbers, FAs did manual count."
1/1/2023,RDM,SEA,651,14,AS,Delayed boarding due to ipad and image going INOP. IT ticket submitted.
1/1/2023,EWR,SAN,773,17,AS,RLS MOBILE would not load the flight plan. Had to resort to manual back up. Called IT to make a ticket. Incident number 1819952.
1/1/2022,LAX,SFO,141,13,AS,captain said issues with submitting numbers and had to do with dispatch over the phone
1/1/2022,PSC,SEA,2101,12,QX,"Internet crashed, needed asst. from CLP/ chg fro F14 to S10 per D.Williams/ AS MCO"
1/1/2022,PSC,SEA,2344,4,QX,The internet system went down and continued to interrupt our operations. Had to call CLP and text a picture over of the O-97 to submit on their end./ Updated F14 to S10 IT to IT. AS MCO
